country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Malaysia,Asia,319364,1200.0,300620.0,17544.0,147.0,9781,37.0,6696247.0,205078.0,32652231
Maldives,Asia,21268,64.0,18695.0,2509.0,179.0,38874,117.0,565574.0,1033767.0,547100
Mali,Africa,8782,359.0,6466.0,1957.0,,425,17.0,158475.0,7674.0,20650139
Malta,Europe,25640,341.0,22176.0,3123.0,18.0,57962,771.0,742643.0,1678828.0,442358
Marshall Islands,Australia/Oceania,4,,4.0,0.0,,67,,,,59466
Martinique,North America,6928,47.0,98.0,6783.0,3.0,18472,125.0,108633.0,289639.0,375063
Mauritania,Africa,17394,442.0,16744.0,208.0,14.0,3675,93.0,183599.0,38788.0,4733437
Mauritius,Africa,711,10.0,592.0,109.0,,558,8.0,289552.0,227415.0,1273232
Mayotte,Africa,18604,129.0,2964.0,15511.0,24.0,67082,465.0,143569.0,517679.0,277332
Mexico,North America,2151028,193142.0,1691093.0,266793.0,4798.0,16563,1487.0,5711049.0,43976.0,129868807
Micronesia,Australia/Oceania,1,,1.0,0.0,,9,,,,115856
Moldova,Europe,200124,4220.0,175111.0,20793.0,331.0,49690,1048.0,758890.0,188429.0,4027448
Monaco,Europe,2075,26.0,1885.0,164.0,5.0,52618,659.0,51953.0,1317434.0,39435
Mongolia,Asia,3664,4.0,2907.0,753.0,7.0,1105,1.0,1987062.0,599475.0,3314670
Montenegro,Europe,82029,1113.0,71864.0,9052.0,69.0,130594,1772.0,301250.0,479605.0,628121
Montserrat,North America,20,1.0,18.0,1.0,,4005,200.0,947.0,189628.0,4994
Morocco,Africa,487750,8712.0,474257.0,4781.0,274.0,13107,234.0,5767741.0,154994.0,37212677
Mozambique,Africa,63645,711.0,48616.0,14318.0,,1998,22.0,448026.0,14064.0,31855153
Myanmar,Asia,142114,3201.0,131722.0,7191.0,,2600,59.0,2506825.0,45860.0,54662295
Namibia,Africa,40631,450.0,38104.0,2077.0,28.0,15794,175.0,318007.0,123614.0,2572583
Nepal,Asia,275070,3012.0,271116.0,942.0,,9325,102.0,2203438.0,74699.0,29497597
Netherlands,Europe,1138796,15998.0,,,572.0,66359,932.0,6970400.0,406173.0,17161169
New Caledonia,Australia/Oceania,81,,58.0,23.0,,282,,24516.0,85304.0,287395
New Zealand,Australia/Oceania,2417,26.0,2305.0,86.0,,483,5.0,1808406.0,361529.0,5002100
Nicaragua,North America,6537,175.0,4225.0,2137.0,,979,26.0,,,6678980
Niger,Africa,4853,180.0,4486.0,187.0,23.0,196,7.0,83494.0,3366.0,24804127
Nigeria,Africa,159933,2001.0,142404.0,15528.0,10.0,763,10.0,1601396.0,7639.0,209644677
Norway,Europe,78041,639.0,66014.0,11388.0,20.0,14318,117.0,3910562.0,717459.0,5450570
Oman,Asia,145257,1600.0,135227.0,8430.0,72.0,27957,308.0,1550000.0,298324.0,5195694
Pakistan,Asia,600198,13430.0,568065.0,18703.0,1709.0,2681,60.0,9402639.0,42005.0,223843061
Panama,North America,346775,5972.0,334256.0,6547.0,195.0,79507,1369.0,1995370.0,457488.0,4361582
Papua New Guinea,Australia/Oceania,1819,21.0,846.0,952.0,,201,2.0,47490.0,5240.0,9063647
Paraguay,South America,175827,3411.0,145470.0,26946.0,331.0,24444,474.0,796345.0,110711.0,7193028
Peru,South America,1394571,48484.0,1301439.0,44648.0,2201.0,41893,1456.0,8105930.0,243504.0,33288708
Philippines,Asia,607048,12608.0,546671.0,47769.0,785.0,5489,114.0,9183552.0,83043.0,110587545
Poland,Europe,1849424,46373.0,1516540.0,286511.0,1929.0,48904,1226.0,10469991.0,276853.0,37817820
Portugal,Europe,812575,16635.0,744196.0,51744.0,273.0,79852,1635.0,8480932.0,833421.0,10176043
Qatar,Asia,168829,264.0,157242.0,11323.0,119.0,60128,94.0,1603693.0,571155.0,2807805
Reunion,Africa,13801,71.0,12389.0,1341.0,58.0,15339,79.0,98785.0,109794.0,899734
Romania,Europe,845352,21252.0,774277.0,49823.0,1171.0,44148,1110.0,6649657.0,347270.0,19148352
Russia,Europe,4360823,90734.0,3959533.0,310556.0,2300.0,29873,622.0,113800000.0,779570.0,145977899
Rwanda,Africa,19945,273.0,18236.0,1436.0,16.0,1514,21.0,1051913.0,79857.0,13172483
Saint Barthelemy,North America,638,1.0,462.0,175.0,,64457,101.0,19114.0,1931097.0,9898
Saint Kitts And Nevis,North America,42,,41.0,1.0,,786,,10439.0,195271.0,53459
Saint Lucia,North America,3966,47.0,3748.0,171.0,2.0,21530,255.0,33348.0,181033.0,184209
Saint Martin,North America,1571,12.0,1399.0,160.0,7.0,40158,307.0,22204.0,567587.0,39120
Saint Pierre And Miquelon,North America,24,,24.0,0.0,,4157,,3729.0,645826.0,5774
Saint Vincent And The Grenadines,North America,1674,8.0,1114.0,552.0,2.0,15056,72.0,37974.0,341542.0,111184
Samoa,Australia/Oceania,3,,2.0,1.0,,15,,,,199327
San Marino,Europe,4062,77.0,3511.0,474.0,11.0,119541,2266.0,46509.0,1368717.0,33980
Sao Tome And Principe,Africa,2035,32.0,1731.0,272.0,,9168,144.0,11592.0,52226.0,221960
Saudi Arabia,Asia,381348,6551.0,371850.0,2947.0,538.0,10838,186.0,14175803.0,402864.0,35187590
Senegal,Africa,36371,941.0,31675.0,3755.0,40.0,2134,55.0,407653.0,23914.0,17046383
Serbia,Europe,503291,4644.0,400347.0,98300.0,213.0,57764,533.0,3106074.0,356492.0,8712896
Seychelles,Africa,3132,16.0,2847.0,269.0,,31710,162.0,5200.0,52648.0,98769
Sierra Leone,Africa,3932,79.0,2772.0,1081.0,,486,10.0,116448.0,14397.0,8088529
Singapore,Asia,60080,29.0,59939.0,112.0,1.0,10214,5.0,7805264.0,1326935.0,5882175
Sint Maarten,North America,2078,27.0,2035.0,16.0,1.0,48088,625.0,22027.0,509743.0,43212
Slovakia,Europe,331571,8244.0,255300.0,68027.0,674.0,60711,1509.0,2164779.0,396372.0,5461478
Slovenia,Europe,198234,3918.0,183848.0,10468.0,90.0,95344,1884.0,961901.0,462645.0,2079136
Solomon Islands,Australia/Oceania,18,,16.0,2.0,,26,,4500.0,6443.0,698441
Somalia,Africa,8820,338.0,4079.0,4403.0,,545,21.0,,,16196916
South Africa,Africa,1525648,51110.0,1447503.0,27035.0,546.0,25502,854.0,9369594.0,156617.0,59824880
South Korea,Asia,94686,1662.0,85743.0,7281.0,127.0,1846,32.0,7012664.0,136700.0,51299807
South Sudan,Africa,9205,103.0,7906.0,1196.0,8.0,816,9.0,118499.0,10501.0,11284357
Spain,Europe,3178356,72085.0,2857714.0,248557.0,2264.0,67961,1541.0,40292390.0,861550.0,46767349
Sri Lanka,Asia,86989,520.0,83561.0,2908.0,,4051,24.0,2225675.0,103638.0,21475470
State Of Palestine,Asia,203669,2211.0,181452.0,20006.0,155.0,39297,427.0,1262358.0,243565.0,5182836
Sudan,Africa,28984,1940.0,23397.0,3647.0,,651,44.0,,,44552158
